year_value,site_id,depth_to_gw_ft,depth_to_gw_m,latitude,longitude,data_source,region,bbox_side,open_et_version,scaled_annual_et_avg,mean_et,mean_precip,et_precip_ratio,precip_variation
2004,KSGS.374125100344101,174.76,53.266848,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,681.012,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2005,KSGS.374125100344101,180.21,54.928008,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,734.966,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2006,KSGS.374125100344101,186.38,56.808624,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,649.861,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2007,KSGS.374125100344101,193.52,58.984896,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,776.595,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2008,KSGS.374125100344101,199.385,60.772548,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,679.178,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2009,KSGS.374125100344101,205.82,62.733936,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,713.571,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2010,KSGS.374125100344101,212.69,64.827912,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,686.099,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2011,KSGS.374125100344101,222.47,67.808856,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,553.282,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2012,KSGS.374125100344101,233.015,71.022972,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,644.8,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2013,KSGS.374125100344101,238.025,72.55002,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,647.243,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2014,KSGS.374125100344101,241.99,73.758552,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,737.355,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2015,KSGS.374125100344101,245.54,74.840592,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,769.117,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2016,KSGS.374125100344101,245.945,74.964036,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,815.01,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2017,KSGS.374125100344101,247.865,75.549252,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,730.06,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
